0	-154890	-59646.3	-622535	-399273	0	0	81059.8	-480230	-127022	0	0	129547	576.464	0
0	-115042	0	-241553	-468705	0	0	0	-614169	-691774	19425.3	0	0	0	0
0	-64273.9	0	-293711	-120385	0	0	94435.3	-86711.5	-121162	0	0	53549.2	0	0
0	-74710.4	0	-193410	-156735	0	0	0	-177949	-188347	12077.8	0	90669.3	0	-46823.1
0	-42432.5	0	-207038	-134551	0	0	56895.1	-113738	-226174	0	0	30143	0	0
0	-37782.5	-35137.3	-228791	-113328	0	0	54295	-128877	-124225	0	0	17254.2	0	0
1.56536e+06	0	0	0	0	0	332952	63079.5	0	0	118079	0	70110.6	0	68461.4
0	-18407.4	0	-134618	-54865.5	0	0	5397.83	-30756.3	-65639.5	0	0	0	0	0
34815.2	-1526.4	136615	8827.67	0	-11099.8	5177.86	-98463.2	-9807.97	0	23385.2	9217.96	0	2177.74	0
0	656189	0	0	0	0	32889.2	-36725.7	0	0	167447	0	-76852	0	-118537
532321	0	0	0	0	0	113307	21513.5	0	0	39949.6	0	23987.5	0	23169.6
0	-12840	-370.413	-23654	-105089	0	0	0	-149003	-154105	0	0	0	0	0
4702.09	10181.4	234530	15412.5	0	0	6276.45	-9188.3	-491.011	0	40941.2	0	0	0	0
0	0	0	0	0	0	3046.89	0	891698	-1.24858e+06	147094	0	-213332	0	-7918.93
0	-1304.5	160111	-95600.1	0	61288.9	0	0	63493.3	20462.8	88584	0	-62904.7	0	0
0	-9638.27	287032	12145.2	0	0	0	0	0	0	98977.2	0	0	0	0
0	0	0	-57077.6	-26038.6	0	-1442.68	19828.1	0	-39983	0	0	5202.23	0	0
0	12178	0	0	0	3830.8	-31653	20320.2	13317	0	-1848.29	4965.81	17147	2249.72	12364.9
548.575	4666.1	0	5525.55	-2894.01	42830.3	0	-18822.3	0	0	-4891.02	0	-8320.34	5722.95	34650.7
748.362	11034.4	3408.32	3683.11	0	-7335.6	2989.74	-21895.4	0	0	390.933	0	9735.1	3811.73	42250.9
8623.58	44761.1	0	0	0	0	15637.1	0	0	0	-54222.4	-10798.1	0	0	16836.5
10743.4	0	4724.96	-5103.41	-4510.61	51939.8	12969	-70423.7	-10413.6	-3294.56	11952.3	11734.3	-24863.6	0	0
0	-4064.44	0	-48210.6	-15980.9	0	0	0	-6628.89	-15975.8	0	0	0	215.289	0
38249.6	31496	-1006.93	0	-4138.88	0	-11188.5	-19131	0	-17887.2	-16888.2	-3758.05	10275	8503.62	-18368.1
0	21580.2	32282.9	0	0	0	0	14330.6	0	0	-20941.3	29268.8	0	0	2682.95
0	0	0	0	0	0	0	125177	0	0	1388.68	243538	0	0	0
1316.75	11408.4	0	0	0	15588.1	840.869	-6639.69	0	0	8208.3	0	0	0	27649.8
4171.23	15367.8	0	0	-1721.79	-5102.38	0	-14986.3	-5126.96	0	0	12532.8	2362.48	0	20393.8
16206.9	1193.76	8811.06	41.6841	0	20680.7	6062.47	-1655.65	0	-7095.03	-12199.3	11662.6	-6485.25	-7186.1	0
0	0	-9415.78	-5095.5	0	191711	-177.047	-46589.1	24126.9	8180.85	-9.88989	13538.7	-103363	-224.112	68.4471
0	-2747.21	-13758.5	-66090.3	-19810.6	-1071.63	0	9042.33	-12089.9	-21826.2	0	0	-17910.5	0	0
0	0	-5188.66	25736.1	0	219612	0	-57843.8	15073.4	0	0	16333.8	-108119	0	0
2997.65	-695.466	-4120.25	3740.27	-2084.9	19914.3	-451.52	0	-28376.7	0	-35214.6	0	-2829.55	0	0
0	0	-21999.8	-150016	0	41239.2	0	2530.84	62961.4	44358.8	0	0	-79171.6	0	0
25439.2	-10903	-308.866	0	0	-2211.64	-19978.2	-45108.3	2085.78	0	-13427.1	2432.65	0	5948.74	-3975.05
0	0	-3081.61	0	0	0	-15226.3	0	0	0	-52699.9	0	0	0	-1250.73
9649.91	-2603.35	11765	0	0	5771.84	-9510.8	0	0	0	-21601.3	6387.41	0	0	491.984
0	0	84495.7	17523.7	0	59771	6323.94	-20931.5	0	0	15850.6	0	-22435.3	0	-3982.86
0	0	0	0	0	0	0	92907.2	0	0	0	150597	0	0	0
0	0	101458	4877.02	0	0	5476.03	0	0	0	0	0	0	0	0
0	0	112388	0	0	0	1593.54	0	1491.6	0	21099.3	0	0	0	-7468.22
1617.29	0	-2800.36	205.423	1506.48	-5500.44	176.644	1710.26	0	0	3482.07	3132.02	4839.57	0	34271.6
0	0	-4985.43	16438.8	0	169172	0	-44220.3	13060.2	1052.88	0	12224.6	-84123.4	0	0
626.433	0	0	0	1098.24	1343.05	4607.12	-10390.9	0	-945.3	0	5192.87	0	0	23813.2
6595.4	0	5698.67	-1832.99	-313.782	47695.8	1864.35	-19244.1	-5700.45	1499.7	3719.33	10367.3	-21533.4	1267.74	0
0	0	14383.1	-4780.9	0	0	0	0	0	0	-34938.4	0	0	0	0
0	-5056.46	5826.91	4314.62	-9173.51	0	9254.21	0	-31483.8	-23500.6	-6471.81	-14519.4	18479.8	-5487.78	-5540.24
