"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15"
"1" 0 0.168535384237849 0.064900975459139 0.677378626292915 0.434447856354825 0 0 -0.0882009460858882 0.522536946042626 0.13821228986158 0 0 -0.140959735437153 -0.000627248897535591 0
"2" 0 0.107398738036879 0 0.225504488526123 0.437564763404455 0 0 0 0.573364297746666 0.645813308241546 -0.018134704768587 0 0 0 0
"3" 0 0.172473911370029 0 0.788150166434629 0.323043596549781 0 0 -0.253409635363688 0.232683430844593 0.325128614405155 0 0 -0.143695029782478 0 0
"4" 0 0.196027120477302 0 0.507474265584376 0.411245432068493 0 0 0 0.466907285489241 0.494189832480329 -0.0316900505913602 0 -0.237900503741014 0 0.122855686287595
"5" 0 0.1172339007989 0 0.572011367550877 0.37174190977182 0 0 -0.157191645774901 0.314239071680086 0.624880935115545 0 0 -0.083280067678813 0 0
"6" 0 0.11764742085107 0.109410778023432 0.712411065015212 0.352881543312647 0 0 -0.169064162379643 0.401298131595935 0.386812700462495 0 0 -0.0537262523350371 0 0
"7" 0.972905355187838 0 0 0 0 0 0.206936924298884 0.0392052839938233 0 0 0.07338867189351 0 0.0435752658784129 0 0.0425502521360305
"8" 0 0.112536258667002 0 0.823006294709438 0.33542803980434 0 0 -0.0330004016384989 0.188033015658915 0.401296421589833 0 0 0 0 0
"9" 0.199240858189464 -0.00873530084389569 0.78182201571594 0.0505190993190728 0 -0.063522073052328 0.0296319214017124 -0.563486421680209 -0.0561291723125679 0 0.133829112483405 0.052752655769783 0 0.0124627974710334 0
"10" 0 0.946132127921647 0 0 0 0 0.0474215946650136 -0.0529532873766735 0 0 0.241434992698896 0 -0.110809761052127 0 -0.17091366061828
"11" 0.972894440220625 0 0 0 0 0 0.207085105299393 0.03931906601409 0 0 0.0730137336851972 0 0.0438406626542861 0 0.0423458308466805
"12" 0 0.0534450719035272 0.00154180291425243 0.098457144143772 0.437421274242194 0 0 0 0.62020841501879 0.641444922561765 0 0 0 0 0
"13" 0.0196659486348746 0.0425825302006369 0.980894651811673 0.0644610020937509 0 0 0.0262505275971661 -0.0384290040900575 -0.00205359682718928 0 0.171231842914561 0 0 0 0
"14" 0 0 0 0 0 0 -0.00195809061803612 0 -0.573051697935131 0.802402706979096 -0.0945302854285534 0 0.137098283077788 0 0.0050891179326739
"15" 0 -0.00557319904552504 0.684040224130364 -0.408431112358834 0 0.261843801442146 0 0 0.271261632010146 0.0874229646828439 0.378456316020537 0 -0.268746963586845 0 0
"16" 0 -0.0317034192238428 0.944142032403952 0.0399495311043803 0 0 0 0 0 0 0.325568350461455 0 0 0 0
"17" 0 0 0 0.739535818543005 0.337373634573175 0 0.0186923335020327 -0.256906214761177 0 0.518046670371651 0 0 -0.0674035947779685 0 0
"18" 0 -0.257583850951397 0 0 0 -0.0810274442621623 0.669510727062291 -0.429804185260518 -0.281675492126766 0 0.0390942400948397 -0.105034690662913 -0.36268601513086 -0.0475851158780077 -0.261537079867707
"19" 0.00917320345805389 0.0780259484220485 0 0.0923975652693792 -0.048393278110819 0.716202991513441 0 -0.31474417800397 0 0 -0.0817870329078262 0 -0.139131698783547 0.095698463711014 0.579424729643145
"20" 0.0147212397891033 0.217060791874629 0.0670460231786173 0.0724514947039589 0 -0.144300654759255 0.0588120180435051 -0.430710583485441 0 0 0.00769015320723594 0 0.19150189543416 0.07498161496885 0.831129360129754
"21" -0.114598928513827 -0.594831160504139 0 0 0 0 -0.207801737220919 0 0 0 0.720562566990525 0.143496168642856 0 0 -0.223740588006727
