"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12"
"Colon...Transverse" 0.00280648356825607 0.442121559339059 0.0720370395326976 0.0747826367387034 0.387057960343489 0.00373850632021733 0.0147849287679084 0.000115868495575383 1.686150632277e-05 0.00244907418264994 5.39054513055842e-05 3.51757538158502e-05
"Esophagus...Gastroesophageal.Junction" 0.000669132778796999 0.921117424539341 0.015339926832743 0.0379219943784268 0.00261112688710819 0.00148120160226592 0.0163688135416637 0.000316032141588338 0.000102798145083052 0.00388363263209431 6.37478454073837e-05 0.000124168675481616
"Esophagus...Mucosa" 5.9212395964869e-07 0.053330135365737 0.000121043682739008 0.000130643255821626 0.0017947144206195 0.943344172675272 4.46383255848941e-05 1.86665299316137e-07 0.000463063370847137 0.000686907061072753 8.01359073033992e-05 3.76714574386393e-06
"Esophagus...Muscularis" 0.000827689470864871 0.972030526802334 2.43818275633309e-06 0.00472593561534702 0.00186895586559745 0.00134533549344168 0.0138378747168437 0.000814495387973023 6.34514472117114e-05 0.00443367180563275 4.19717686242132e-05 7.65344337302092e-06
"Heart...Atrial.Appendage" 0.00435707728387586 0.0980510862916926 0.245154464339783 0.00791080846992696 4.08119629604859e-07 0.000147546849935322 0.00634586444723758 0.605896654438533 0.00173150756891389 0.0303428696836267 1.43761582102666e-05 4.73363486359876e-05
"Heart...Left.Ventricle" 0.00329339819944016 0.0512705046569429 0.128818214410356 0.00812609504713245 0.000808473175995282 0.000160389596199908 0.0130190514228218 0.779996893876419 0.000499650774640641 0.0139319537785516 2.29693078324557e-05 5.24057536680222e-05
"Liver" 8.49892841418252e-08 1.52181454144141e-07 1.76934913994439e-07 0.28086678243191 7.75942397412591e-08 9.46784264296679e-05 1.40459668655626e-07 1.32893336795108e-07 0.705776485206279 0.0131378499400809 0.000119526259274514 3.91268312870082e-06
"Lung" 0.000252727594966243 0.0301039068855654 0.802566240675318 6.67713797091032e-05 0.122230954494066 0.000427898489200611 0.00191835075918508 0.000285643159644284 0.0087545755253903 0.0332395664159036 0.000136986612719994 1.63780083312214e-05
"Muscle...Skeletal" 0.000158659411126105 0.00362045386646989 0.000393485244765488 0.000251891686045653 0.000638823358829845 0.000138327892657996 5.68356894060877e-05 0.993619113291381 3.18386208073563e-05 0.00104951605392492 2.29263382747455e-05 1.81285463104526e-05
"Nerve...Tibial" 0.0955761297571697 0.034361699708005 0.828940870510238 0.0033482306963177 2.69913973557993e-05 0.000154437190614646 0.0256829582113795 0.000183029180990217 1.02002562702884e-05 0.0116613851897586 3.11829430321035e-05 2.28849588683038e-05
"Ovary" 0.000163089064555246 0.0581830528570731 0.0702114600867864 0.85545486372989 0.000964376597783288 0.000215072963238951 0.000667287229150974 3.8045644889615e-07 0.000210378654524448 0.013897405034372 1.31393123544816e-05 1.9494013821929e-05
