"Adipose - Subcutaneous" "Adipose - Visceral (Omentum)" "Adrenal Gland" "Artery - Aorta" "Artery - Coronary" "Artery - Tibial" "Bladder" "Brain - Amygdala" "Brain - Anterior cingulate cortex (BA24)" "Brain - Caudate (basal ganglia)" "Brain - Cerebellar Hemisphere" "Brain - Cerebellum" "Brain - Cortex" "Brain - Frontal Cortex (BA9)" "Brain - Hippocampus" "Brain - Hypothalamus" "Brain - Nucleus accumbens (basal ganglia)" "Brain - Putamen (basal ganglia)" "Brain - Spinal cord (cervical c-1)" "Brain - Substantia nigra" "Breast - Mammary Tissue" "Cells - EBV-transformed lymphocytes" "Cells - Transformed fibroblasts" "Cervix - Ectocervix" "Cervix - Endocervix" "Colon - Sigmoid" "Colon - Transverse" "Esophagus - Gastroesophageal Junction" "Esophagus - Mucosa" "Esophagus - Muscularis" "Fallopian Tube" "Heart - Atrial Appendage" "Heart - Left Ventricle" "Kidney - Cortex" "Liver" "Lung" "Minor Salivary Gland" "Muscle - Skeletal" "Nerve - Tibial" "Ovary" "Pancreas" "Pituitary" "Prostate" "Skin - Not Sun Exposed (Suprapubic)" "Skin - Sun Exposed (Lower leg)" "Small Intestine - Terminal Ileum" "Spleen" "Stomach" "Testis" "Thyroid" "Uterus" "Vagina" "Whole Blood"
"Brain - Cerebellum" 0 0 0.0064 0.0142 0.0036 0.1254 0 0.0452 0.0528 0 0 0 4e-04 0.0868 0.0436 0 0 0 0.0904 0.1308 0.0048 0 0 0 0 0.0196 0.0076 0 0.006 0.0134 0 0.015 0.0346 6e-04 0.0202 0 0.0046 0 0.0556 0.0058 0 0 0 0 0 0 0 0.0016 0 0 0.0148 0.0562 0
"Brain - Cortex" 0.0398 0.0154 0.2994 0.0216 0.004 0.0552 0 0.1098 0.5206 0.1162 0.1426 4e-04 0 0.6378 0.1264 0.0558 0.1628 0.3622 0.1736 0.6972 0.0018 0 0.001 0 0 0.0106 0.008 6e-04 0.0096 0.007 0 0.0094 0.234 0 0.0602 0.0156 0.3434 0.1386 0.0284 0.0054 0 0.0384 0.0042 0.008 0.0042 0 0 8e-04 4e-04 0.0512 0.0116 0.0016 0.0044
"Brain - Frontal Cortex (BA9)" 0.012 0.014 0 0.0082 0.0046 0.0126 0 0.2768 0.9114 0.8142 0.8684 0.0868 0.6378 0 0.6832 0.821 0.7558 0.661 0.2252 0.5796 0.007 0 0.0018 0 0 0.0126 0.0712 0.0144 0.012 0.0202 0 0.01 0.0094 0 0.0034 0.0066 0.0454 0.0272 0.0124 0.176 0 0.0136 0.0112 0.0126 0.0076 0 0 0.0044 0.0012 0.0244 0.0284 0.0058 0.0042
"Brain - Hippocampus" 0.0166 0.0114 0 0.053 0.003 0.011 0 0.3608 0.7586 0.8782 0.443 0.0436 0.1264 0.6832 0 0.7036 0.4942 0.4656 0.0526 0.7116 0.003 0 0.0018 0 0 0.0122 0 0.0144 0.0042 0.0052 0 0.0646 0.162 0 0.0048 0.0064 0 0.0218 0.0118 0.2018 0 0.0158 0.0098 0.0072 0.0122 0 0 0 0.0018 0.0222 0.0064 0.0014 0.0576
"Brain - Hypothalamus" 0.0106 0.007 0 0.0078 0.0088 0.0102 0 0.2392 0.6858 0.7524 0.5728 0 0.0558 0.821 0.7036 0 0.3222 0.5698 0.245 0.1856 0.0046 0 0.0022 0 0 0.0036 0.0364 0.0154 0.0236 2e-04 0 0.0524 0.1708 0 0.0098 0.005 0.0054 0.1198 0.0272 0.034 0 0.018 6e-04 0.0046 0.0058 0 0 0 0.0032 0.0132 0.017 0 0.0044
"Brain - Nucleus accumbens (basal ganglia)" 0.0076 0.014 0 0.0046 0.0038 0.0512 0 0.578 0.7526 0.9676 0.709 0 0.1628 0.7558 0.4942 0.3222 0 0.966 0.0898 0.4464 0.0028 0 0.003 0 0 0.0018 0.0068 0.0074 0.0046 0.003 0 0.0118 0.1142 0.1098 0.0056 0.0056 0.0734 0.0258 0.228 0.0016 0 0.0124 0.0044 0.0036 0.0036 0 0 0.0092 0.005 0.0706 0.0136 0.0012 0.0084
"Brain - Putamen (basal ganglia)" 0.016 0.0994 0 0.014 0.0424 0.0438 0 0.8046 0.536 0.9774 0.6556 0 0.3622 0.661 0.4656 0.5698 0.966 0 0.4496 0.9506 0.0028 0 0.0016 0 0 0.004 0.0108 0.0176 0.0102 0.0256 0 0.0454 0.029 0 0.004 0.0508 0.0236 0.0394 0.1422 0.2856 0 0.0234 0.0086 0.015 0.0044 0 0 0.0046 0.0022 0.47 0.0128 8e-04 0.0084
"Brain - Spinal cord (cervical c-1)" 0.0088 0.0112 0 0.0784 0.0014 0.0186 0 0.2642 0.0542 0.0904 0.042 0.0904 0.1736 0.2252 0.0526 0.245 0.0898 0.4496 0 0.5148 0.0138 0 0.0016 0 0 0.0688 0 0 0.0028 0.0032 0 0.0894 0.1204 0 0.0032 0.0032 0 0.1052 0.2376 0 0 0.0096 0.0288 0.0128 0.0072 0 0 0 0.0016 0.6084 0 0 0.0028
"Brain - Substantia nigra" 0.0044 0.0744 0 0.0054 0.0092 0.066 0 0.5018 0.4388 0.7518 0.6258 0.1308 0.6972 0.5796 0.7116 0.1856 0.4464 0.9506 0.5148 0 0.0026 0 0.002 0 0 0.0668 0 0 0.0042 0.0252 0 0.0708 0.0994 0 0.0036 0.3194 0 0.1372 0.1648 0.0058 0 0.0108 0 0.0162 0.0076 0 0 0 2e-04 0.3454 0 0 0.0068
"Breast - Mammary Tissue" 0.307 0.2788 0.144 0.1132 0.0848 0.1464 0 0.0028 0.0038 0.0028 0.0038 0.0048 0.0018 0.007 0.003 0.0046 0.0028 0.0028 0.0138 0.0026 0 0.0024 0.006 0 0 0.2484 0.0132 0.197 0.0338 0.1586 0 0.2574 0.0418 0 0.0146 0.2064 0.0566 0.168 0.2284 0.0244 0.0096 0.0118 0.0496 0.2174 0.0516 0.0092 0.0718 0.0118 0.02 0.1682 0.101 0.0126 0.037
"Cells - EBV-transformed lymphocytes" 0.0022 0.0014 0.0024 0.0034 0.0022 0.028 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0024 0 0.0072 0 0 0.0028 0.0024 0.0042 0.0024 0.0038 0 0.0022 0.0022 0 0 0.0054 0.0562 0.0026 0.0044 0.003 0.0028 0 4e-04 0.0024 0.006 0.0032 0.0028 0.0028 0.0022 0.006 2e-04 0.001 0.0256
